,transaction_date,ticker,asset_description,type,amount,representative
1855,2019-10-11,--,"Metropolitan Transportation Auth NY Revenue BANS Bond <div class=""text-muted""><em>Rate/Coupon:</em> 4.0%<br> <em>Matures:</em> 09/01/2020</div>",Purchase,"$500,001 - $1,000,000",Rick Scott
1856,2019-10-16,--,"South Carolina ST Ports Authority Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 07/01/2038</div>",Purchase,"$500,001 - $1,000,000",Rick Scott
1857,2019-10-16,--,"City of Atlanta Georgia Airport General Obligation Bond <div class=""text-muted""><em>Rate/Coupon:</em> 4.0%<br> <em>Matures:</em> 07/01/2038</div>",Purchase,"$500,001 - $1,000,000",Rick Scott
1858,2019-10-16,--,"Texas Water Dev Brd Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 10/15/2040</div>",Purchase,"$250,001 - $500,000",Rick Scott
1859,2019-10-16,--,"South Carolina ST Ports Authority Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 07/01/2038</div>",Purchase,"$500,001 - $1,000,000",Rick Scott
1860,2019-10-16,--,"City of Atlanta Georgia Airport General Obligation Bond <div class=""text-muted""><em>Rate/Coupon:</em> 4.0%<br> <em>Matures:</em> 07/01/2038</div>",Purchase,"$500,001 - $1,000,000",Rick Scott
1861,2019-10-11,--,"Metropolitan Transportation Auth NY Revenue BANS Bond <div class=""text-muted""><em>Rate/Coupon:</em> 4.0%<br> <em>Matures:</em> 09/01/2020</div>",Purchase,"$500,001 - $1,000,000",Rick Scott
1862,2019-10-11,--,"Metropolitan Transportation Auth NY Revenue BANS Bond <div class=""text-muted""><em>Rate/Coupon:</em> 4.0%<br> <em>Matures:</em> 09/01/2020</div>",Purchase,"$500,001 - $1,000,000",Rick Scott
1863,2019-10-15,MSFT,Microsoft Corporation,Sale (Partial),"$1,001 - $15,000",Shelley M Capito
1864,2019-10-22,--,"Quadbridge HML Venture, LLC <div class=""text-muted""> <em>Company:</em> Quadbridge HML Venture, LLC &nbsp;(Charlotte, NC) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Real Estate</div>",Sale (Full),"$500,001 - $1,000,000",Mark R Warner
1865,2019-10-28,--,"Blackridge Financial, Inc. <div class=""text-muted""> <em>Company:</em> Blackridge Financial, Inc. &nbsp;(West Fargo, ND) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Bank holding company of Blackridge bank.</div>",Purchase,"$5,000,001 - $25,000,000",John Hoeven
1866,2019-10-08,RPM,RPM International Inc.,Sale (Partial),"$15,001 - $50,000",Daniel S Sullivan
1867,2019-10-29,ALB,Albemarle Corporation,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
1868,2019-10-23,NFLX,"Netflix, Inc.",Sale (Full),"$15,001 - $50,000","David A Perdue , Jr"
1869,2019-10-28,PEP,"PepsiCo, Inc.",Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
1870,2019-10-28,AAPL,Apple Inc.,Sale (Partial),"$15,001 - $50,000","David A Perdue , Jr"
1871,2019-10-28,AAPL,Apple Inc.,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
1872,2019-10-28,ALB,Albemarle Corporation,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
1873,2019-10-29,DIS,The Walt Disney Company,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
1874,2019-10-30,TCP,"TC PipeLines, LP",Purchase,"$1,001 - $15,000","David A Perdue , Jr"
1875,2019-10-31,ALB,Albemarle Corporation,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
1876,2019-09-30,EAF,GrafTech International Ltd.,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
1877,2019-09-30,MSFT,Microsoft Corporation,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
1878,2019-09-30,COP,ConocoPhillips Company,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
1879,2019-09-30,STT,State Street Corporation,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
1880,2019-09-30,PG,The Procter &amp; Gamble Company,Sale (Partial),"$15,001 - $50,000","David A Perdue , Jr"
1881,2019-09-30,DIS,The Walt Disney Company,Sale (Partial),"$15,001 - $50,000","David A Perdue , Jr"
1882,2019-09-30,USB,U.S. Bancorp,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
1883,2019-09-30,KO,The Coca-Cola Company,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
1884,2019-09-30,MSM,"MSC Industrial Direct Co., Inc.",Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
1885,2019-09-30,PEP,"PepsiCo, Inc.",Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
1886,2019-09-30,XOM,Exxon Mobil Corporation,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
1887,2019-09-30,NWSA,News Corporation,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
1888,2019-09-30,SYK,Stryker Corporation,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
1889,2019-09-30,BOIVF,Bollore,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
1890,2019-09-30,ORCL,Oracle Corporation,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
1891,2019-09-30,FOX,Fox Corporation,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
1892,2019-09-30,BK,The Bank of New York Mellon Corporation,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
1893,2019-09-30,BKNG,Booking Holdings Inc.,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
1894,2019-09-30,ANTM,"Anthem, Inc.",Purchase,"$1,001 - $15,000","David A Perdue , Jr"
1895,2019-09-30,SYY,Sysco Corporation,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
1896,2019-09-30,UHAL,AMERCO,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
1897,2019-10-01,CBS,CBS Corporation,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
1898,2019-10-01,ENTG,"Entegris, Inc.",Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
1899,2019-10-01,CBS,CBS Corporation,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
1900,2019-10-02,IP,International Paper Company,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
1901,2019-10-10,PBA,Pembina Pipeline Corporation,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
1902,2019-10-11,SPY,SPDR S&amp;P 500 ETF,Purchase,"$15,001 - $50,000","David A Perdue , Jr"
1903,2019-10-11,CTSH,Cognizant Technology Solutions Corporation,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr"
1904,2019-10-11,XOM,Exxon Mobil Corporation,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr"
1905,2019-10-11,RF,Regions Financial Corporation,Sale (Partial),"$100,001 - $250,000","David A Perdue , Jr"
1906,2019-10-11,MOS,The Mosaic Company,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr"
1907,2019-10-11,DVN,Devon Energy Corporation,Sale (Full),"$100,001 - $250,000","David A Perdue , Jr"
1908,2019-10-11,CBS,CBS Corporation,Sale (Full),"$100,001 - $250,000","David A Perdue , Jr"
1909,2019-10-11,SPY,SPDR S&amp;P 500 ETF,Purchase,"$500,001 - $1,000,000","David A Perdue , Jr"
1910,2019-10-11,LGF-B,Lions Gate Entertainment Corp.,Sale (Full),"$50,001 - $100,000","David A Perdue , Jr"
1911,2019-10-11,FDX,FedEx Corporation,Sale (Full),"$100,001 - $250,000","David A Perdue , Jr"
1912,2019-10-15,NWSA,News Corporation,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
1913,2019-10-16,NWSA,News Corporation,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
1914,2019-10-17,TRGP,Targa Resources Corp.,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
1915,2019-10-18,ENTG,"Entegris, Inc.",Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
1916,2019-10-23,DOW,Dow Inc.,Sale (Partial),"$15,001 - $50,000","David A Perdue , Jr"
1917,2019-10-23,RF,Regions Financial Corporation,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr"
1918,2019-10-23,PAA,"Plains All American Pipeline, L.P.",Purchase,"$1,001 - $15,000","David A Perdue , Jr"
1919,2019-10-25,ALB,Albemarle Corporation,Purchase,"$15,001 - $50,000","David A Perdue , Jr"
1920,2019-10-23,MSFT,Microsoft Corporation,Purchase,"$1,001 - $15,000",Pat Roberts
1921,2019-10-17,KTB,"Kontoor Brands, Inc.",Sale (Full),"$1,001 - $15,000",Pat Roberts
1922,2019-10-01,KTB,"Kontoor Brands, Inc.",Purchase,"$1,001 - $15,000",Pat Roberts
1923,2019-10-01,AMZN,"Amazon.com, Inc.",Sale (Full),"$1,001 - $15,000",Pat Roberts
1924,2019-10-31,MA,Mastercard Incorporated,Purchase,"$15,001 - $50,000",Pat Roberts
1925,2019-10-15,AAPL,Apple Inc.,Sale (Full),"$15,001 - $50,000",Pat Roberts
1926,2019-10-01,NVDA,NVIDIA Corporation,Purchase,"$1,001 - $15,000",Pat Roberts
1927,2019-10-31,NFLX,"Netflix, Inc.",Purchase,"$1,001 - $15,000",Pat Roberts
1928,2019-10-01,NFLX,"Netflix, Inc.",Purchase,"$1,001 - $15,000",Pat Roberts
1929,2019-10-03,AAPL,Apple Inc.,Purchase,"$15,001 - $50,000",Pat Roberts
1930,2019-10-01,CELG,Celgene Corporation,Sale (Full),"$1,001 - $15,000",Pat Roberts
1932,2019-10-16,--,"Surgical Information Sciences <div class=""text-muted""> <em>Company:</em> Surgical Information Sciences &nbsp;(Alpharetta, CA) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Health Management Systems</div>",Purchase,"$15,001 - $50,000",Tina Smith
1933,2019-10-21,IBM,International Business Machines Corporation,Purchase,"$50,001 - $100,000",John Hoeven
1934,2018-06-28,--,"Surgical Information Sciences <div class=""text-muted""> <em>Company:</em> Surgical Information Sciences &nbsp;(Alpharetta, CA) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Health Management Systems</div>",Purchase,"$15,001 - $50,000",Tina Smith
1935,2019-09-10,--,"ME Muni Bond Waterville ME GO <div class=""text-muted""><em>Rate/Coupon:</em> 2.0%<br> <em>Matures:</em> 10/01/2023</div>",Purchase,"$15,001 - $50,000","Angus S King, Jr."
1936,2019-09-25,WFC,Wells Fargo &amp; Company,Sale (Partial),"$1,001 - $15,000","Jerry Moran,"
1937,2019-09-25,DIS,The Walt Disney Company,Sale (Partial),"$1,001 - $15,000","Jerry Moran,"
1938,2019-09-25,3V64.TI,VISA - CLASSE A,Purchase,"$1,001 - $15,000","Jerry Moran,"
1939,2019-09-25,VZ,Verizon Communications Inc.,Sale (Partial),"$1,001 - $15,000","Jerry Moran,"
1940,2019-09-25,TXN,Texas Instruments Incorporated,Purchase,"$1,001 - $15,000","Jerry Moran,"
1941,2019-09-25,JNK,SPDR Bloomberg Barclays High Yield Bond ETF,Sale (Full),"$15,001 - $50,000","Jerry Moran,"
1942,2019-09-25,OXY,Occidental Petroleum Corporation,Purchase,"$1,001 - $15,000","Jerry Moran,"
1943,2019-09-25,MPC,Marathon Petroleum Corporation,Purchase,"$1,001 - $15,000","Jerry Moran,"
1944,2019-09-25,JNJ,Johnson &amp; Johnson,Purchase,"$1,001 - $15,000","Jerry Moran,"
1945,2019-09-25,INTC,Intel Corporation,Purchase,"$1,001 - $15,000","Jerry Moran,"
1946,2019-09-25,GILD,"Gilead Sciences, Inc.",Purchase,"$1,001 - $15,000","Jerry Moran,"
1947,2019-09-25,GIS,"General Mills, Inc.",Sale (Full),"$1,001 - $15,000","Jerry Moran,"
1948,2019-09-25,0QZI.IL,FACEBOOK INC FACEBOOK CLASS A,Purchase,"$1,001 - $15,000","Jerry Moran,"
1949,2019-09-25,XOM,Exxon Mobil Corporation,Sale (Partial),"$1,001 - $15,000","Jerry Moran,"
1950,2019-09-25,COST,Costco Wholesale Corporation,Sale (Partial),"$1,001 - $15,000","Jerry Moran,"
1951,2019-09-25,KO,The Coca-Cola Company,Purchase,"$1,001 - $15,000","Jerry Moran,"
1952,2019-09-25,AAPL,Apple Inc.,Sale (Partial),"$1,001 - $15,000","Jerry Moran,"
1953,2019-09-25,WFC,Wells Fargo &amp; Company,Sale (Partial),"$1,001 - $15,000","Jerry Moran,"
1954,2019-09-25,DIS,The Walt Disney Company,Sale (Partial),"$1,001 - $15,000","Jerry Moran,"
1955,2019-09-25,3V64.TI,VISA - CLASSE A,Purchase,"$1,001 - $15,000","Jerry Moran,"
1956,2019-09-25,VZ,Verizon Communications Inc.,Sale (Partial),"$1,001 - $15,000","Jerry Moran,"
1957,2019-09-25,USB,U.S. Bancorp,Sale (Partial),"$1,001 - $15,000","Jerry Moran,"
1958,2019-09-25,TXN,Texas Instruments Incorporated,Purchase,"$1,001 - $15,000","Jerry Moran,"
1959,2019-09-25,JNK,SPDR Bloomberg Barclays High Yield Bond ETF,Sale (Partial),"$15,001 - $50,000","Jerry Moran,"
1960,2019-09-25,OXY,Occidental Petroleum Corporation,Purchase,"$1,001 - $15,000","Jerry Moran,"
1961,2019-09-25,MSFT,Microsoft Corporation,Sale (Partial),"$1,001 - $15,000","Jerry Moran,"
1962,2019-09-25,MPC,Marathon Petroleum Corporation,Purchase,"$1,001 - $15,000","Jerry Moran,"
1963,2019-09-25,JNJ,Johnson &amp; Johnson,Purchase,"$1,001 - $15,000","Jerry Moran,"
1964,2019-09-25,INTC,Intel Corporation,Purchase,"$1,001 - $15,000","Jerry Moran,"
1965,2019-09-25,GILD,"Gilead Sciences, Inc.",Purchase,"$1,001 - $15,000","Jerry Moran,"
1966,2019-09-25,GIS,"General Mills, Inc.",Sale (Full),"$1,001 - $15,000","Jerry Moran,"
1967,2019-09-25,0QZI.IL,FACEBOOK INC FACEBOOK CLASS A,Purchase,"$1,001 - $15,000","Jerry Moran,"
1968,2019-09-25,XOM,Exxon Mobil Corporation,Sale (Partial),"$1,001 - $15,000","Jerry Moran,"
1969,2019-09-25,CVS,CVS Health Corporation,Sale (Partial),"$1,001 - $15,000","Jerry Moran,"
1970,2019-09-25,COST,Costco Wholesale Corporation,Sale (Partial),"$1,001 - $15,000","Jerry Moran,"
1971,2019-09-25,KO,The Coca-Cola Company,Purchase,"$1,001 - $15,000","Jerry Moran,"
1972,2019-09-25,BRK-B,Berkshire Hathaway Inc.,Purchase,"$1,001 - $15,000","Jerry Moran,"
1973,2019-09-25,BAC,Bank of America Corporation,Sale (Partial),"$1,001 - $15,000","Jerry Moran,"
1974,2019-09-25,AAPL,Apple Inc.,Sale (Partial),"$1,001 - $15,000","Jerry Moran,"
1975,2019-09-25,AMZN,"Amazon.com, Inc.",Purchase,"$1,001 - $15,000","Jerry Moran,"
1976,2019-09-30,UNH,UnitedHealth Group Incorporated,Sale (Full),"$15,001 - $50,000",James M Inhofe
1977,2019-09-30,XBI,SPDR S&amp;P Biotech ETF,Sale (Full),"$15,001 - $50,000",James M Inhofe
1978,2019-09-16,--,"Federal Farm Credit Bk 3133EGU94 <div class=""text-muted""><em>Rate/Coupon:</em> 2.300%<br> <em>Matures:</em> 12/14/2022</div>",Sale (Full),"$15,001 - $50,000",Susan M Collins
1979,2019-09-18,--,"Federal Farm Credit Bk 3133EKQ90 <div class=""text-muted""><em>Rate/Coupon:</em> 2.000%<br> <em>Matures:</em> 09/23/2022</div>",Purchase,"$15,001 - $50,000",Susan M Collins
1981,2019-09-06,--,"Snap + Style, Inc. <div class=""text-muted""> <em>Company:</em> Snap + Style, Inc. &nbsp;(Washington, DC) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Online Fashion Advisory &amp; Shopping Website</div>",Purchase,"$50,001 - $100,000",Mark R Warner
1982,2019-08-27,TSLA,"Tesla, Inc.",Sale (Full),"$1,001 - $15,000",Sheldon Whitehouse
1983,2019-08-27,CVS,CVS Health Corporation,Purchase,"$1,001 - $15,000",Sheldon Whitehouse
1984,2019-08-27,T,AT&amp;T Inc.,Purchase,"$1,001 - $15,000",Sheldon Whitehouse
1985,2019-08-27,TSLA,"Tesla, Inc.",Sale (Full),"$15,001 - $50,000",Sheldon Whitehouse
1986,2019-10-03,--,"Westbrand, Inc. stock <div class=""text-muted""> <em>Company:</em> Westbrand, Inc. &nbsp;(Minot, ND) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Bank holding company of First Western Bank</div>",Purchase,"$15,001 - $50,000",John Hoeven
1987,2019-09-17,--,"Port Portland Oregon Airport Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 07/01/2030</div>",Purchase,"$500,001 - $1,000,000",Rick Scott
1988,2019-09-17,--,"Port Portland Oregon Airport Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 07/01/2030</div>",Purchase,"$500,001 - $1,000,000",Rick Scott
1989,2019-09-17,--,"Port Portland Oregon Airport Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 07/01/2030</div>",Purchase,"$500,001 - $1,000,000",Rick Scott
1990,2019-09-09,--,"Dallas Fort Worth Texas International Airport Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 11/01/2026</div>",Purchase,"$250,001 - $500,000",Rick Scott
1991,2019-09-09,--,"Dallas Fort Worth Texas International Airport Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 11/01/2026</div>",Purchase,"$250,001 - $500,000",Rick Scott
1992,2019-09-27,--,"CS Contingent Autocall on MSFT <div class=""text-muted""><em>Rate/Coupon:</em> 8.25%<br> <em>Matures:</em> 09/30/2022</div>",Purchase,"$15,001 - $50,000",Thomas R Carper
1993,2019-09-27,--,"CS Contingent Autocall on MSFT <div class=""text-muted""><em>Rate/Coupon:</em> 8.25%<br> <em>Matures:</em> 09/30/2022</div>",Purchase,"$15,001 - $50,000",Thomas R Carper
1994,2019-09-19,--,"JP Morgan Chase Step-up <div class=""text-muted""><em>Rate/Coupon:</em> 2.5%<br> <em>Matures:</em> 09/23/2029</div>",Purchase,"$1,001 - $15,000",Thomas R Carper
1995,2019-09-19,--,"JPM Contingent Autocall on NVDA <div class=""text-muted""><em>Rate/Coupon:</em> 12.1%<br> <em>Matures:</em> 06/18/2020</div>",Sale (Full),"$15,001 - $50,000",Thomas R Carper
1996,2019-09-19,--,"JPM Contingent Autocall on NVDA <div class=""text-muted""><em>Rate/Coupon:</em> 12.1%<br> <em>Matures:</em> 06/18/2020</div>",Sale (Full),"$15,001 - $50,000",Thomas R Carper
1997,2019-09-19,--,"JP Morgan Chase Step-up <div class=""text-muted""><em>Rate/Coupon:</em> 2.5%<br> <em>Matures:</em> 09/23/2029</div>",Purchase,"$1,001 - $15,000",Thomas R Carper
1998,2019-09-26,FDX,FedEx Corporation,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
1999,2019-09-04,CZR,Casars Entertainment Corporation,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
2000,2019-09-05,CZR,Casars Entertainment Corporation,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
2001,2019-09-11,ENTG,"Entegris, Inc.",Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
2002,2019-09-13,ENTG,"Entegris, Inc.",Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
2003,2019-09-16,BPL,"Buckeye Partners, L.P.",Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
2004,2019-09-16,BPL,"Buckeye Partners, L.P.",Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
2005,2019-09-16,BPL,"Buckeye Partners, L.P.",Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
2006,2019-09-17,BPL,"Buckeye Partners, L.P.",Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
2007,2019-09-18,ET,Energy Transfer LP,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
2008,2019-09-18,WES,"Western Midstream Partners, LP",Purchase,"$1,001 - $15,000","David A Perdue , Jr"
2009,2019-09-18,WES,"Western Midstream Partners, LP",Purchase,"$1,001 - $15,000","David A Perdue , Jr"
2010,2019-09-18,BPL,"Buckeye Partners, L.P.",Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
2011,2019-09-18,BPL,"Buckeye Partners, L.P.",Sale (Full),"$1,001 - $15,000","David A Perdue , Jr"
2012,2019-09-19,OKE,"ONEOK, Inc.",Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
2013,2019-09-19,AAPL,Apple Inc.,Sale (Partial),"$15,001 - $50,000","David A Perdue , Jr"
2014,2019-09-19,DCP,"DCP Midstream, LP",Purchase,"$1,001 - $15,000","David A Perdue , Jr"
2015,2019-09-25,GPK,Graphic Packaging Holding Company,Sale (Partial),"$15,001 - $50,000","David A Perdue , Jr"
2016,2019-09-25,SU,Suncor Energy Inc.,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr"
2017,2019-08-29,--,"VICTORIA TEX INDPT SCH DIST ULTD TAX REF BDS 2016 (Exchanged) <br> VICTORIA TEX INDPT SCH DIST UNREFUNDED BALANCE-REF (Received) <div class=""text-muted""><em>Rate/Coupon:</em> 3.125%<br> <em>Matures:</em> 02/15/2038</div>",Exchange,"$1,001 - $15,000",Gary C Peters
2018,2019-08-29,--,"VICTORIA TEX INDPT SCH DIST ULTD TAX REF BDS 2016 (Exchanged) <br> VICTORIA TEX INDPT SCH DIST PREREFUNDED-REF (Received) <div class=""text-muted""><em>Rate/Coupon:</em> 3.125%<br> <em>Matures:</em> 02/15/2038</div>",Exchange,"$1,001 - $15,000",Gary C Peters
2019,2019-09-24,NFLX,"Netflix, Inc.",Purchase,"$50,001 - $100,000",John Hoeven
2020,2019-09-24,KTB,"Kontoor Brands, Inc.",Purchase,"$15,001 - $50,000",John Hoeven
2022,2019-09-01,WFC,Wells Fargo &amp; Company,Purchase,"$1,001 - $15,000","A. Mitchell Mcconnell, Jr."
2024,2019-08-01,DD,"DuPont de Nemours, Inc.",Sale (Full),"$1,001 - $15,000",William Cassidy
2025,2019-08-15,CVET,"Covetrus, Inc.",Sale (Full),"$1,001 - $15,000",Susan M Collins
2026,2019-08-20,AKAM,"Akamai Technologies, Inc.",Purchase,"$15,001 - $50,000",Susan M Collins
2027,2019-08-02,--,"CS Contingent Autocall GE <div class=""text-muted""><em>Rate/Coupon:</em> 14%<br> <em>Matures:</em> 02/06/2020</div>",Purchase,"$15,001 - $50,000",Thomas R Carper
2028,2019-08-02,--,"CS Contingent Autocall GE <div class=""text-muted""><em>Rate/Coupon:</em> 14%<br> <em>Matures:</em> 02/06/2020</div>",Purchase,"$15,001 - $50,000",Thomas R Carper
2029,2019-08-26,T,AT&amp;T Inc.,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
2030,2019-08-26,T,AT&amp;T Inc.,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
2031,2019-08-22,T,AT&amp;T Inc.,Sale (Partial),"$15,001 - $50,000","David A Perdue , Jr"
2032,2019-08-21,ENTG,"Entegris, Inc.",Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
2033,2019-08-19,ENTG,"Entegris, Inc.",Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
2034,2019-08-16,CZR,Caesars Entertainment Corporation,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
2035,2019-08-15,CZR,Caesars Entertainment Corporation,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
2036,2019-08-15,GPK,Graphic Packaging Holding Company,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
2037,2019-08-15,ENTG,"Entegris, Inc.",Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
2038,2019-08-15,M,"Macy's, Inc.",Purchase,"$1,001 - $15,000","David A Perdue , Jr"
2039,2019-08-15,BMY,Bristol-Myers Squibb Company,Sale (Partial),"$15,001 - $50,000","David A Perdue , Jr"
2040,2019-08-14,GPK,Graphic Packaging Holding Company,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
2041,2019-08-14,GPK,Graphic Packaging Holding Company,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
2042,2019-08-13,EXR,Extra Space Storage Inc.,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
2043,2019-08-13,EXR,Extra Space Storage Inc.,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
2044,2019-08-12,GPK,Graphic Packaging Holding Company,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
2045,2019-08-09,DIS,The Walt Disney Company,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
2046,2019-08-09,FEYE,"FireEye, Inc.",Purchase,"$1,001 - $15,000","David A Perdue , Jr"
2047,2019-08-09,GPK,Graphic Packaging Holding Company,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
2048,2019-08-09,DIS,The Walt Disney Company,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
2049,2019-08-08,GPK,Graphic Packaging Holding Company,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
2050,2019-08-08,KR,The Kroger Co.,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
2051,2019-08-08,KR,The Kroger Co.,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
2052,2019-08-08,M,"Macy's, Inc.",Purchase,"$1,001 - $15,000","David A Perdue , Jr"
2053,2019-08-07,KR,The Kroger Co.,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
2054,2019-08-07,CZR,Caesars Entertainment Corporation,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
2055,2019-08-07,STT,State Street Corporation,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
2056,2019-08-06,CZR,Caesars Entertainment Corporation,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
2057,2019-08-06,KR,The Kroger Co.,Purchase,"$15,001 - $50,000","David A Perdue , Jr"
2058,2019-08-05,KR,The Kroger Co.,Purchase,"$15,001 - $50,000","David A Perdue , Jr"
2059,2019-08-05,CZR,Caesars Entertainment Corporation,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
2060,2019-08-21,--,"COOK CNTY ILL SCH DIST NO 157 GO REF BDS 2019 <div class=""text-muted""><em>Rate/Coupon:</em> 2.875%<br> <em>Matures:</em> 05/01/2039</div>",Purchase,"$1,001 - $15,000",Gary C Peters
2061,2019-07-29,--,"BROOKHAVEN GA DEV AUTH REV BDS CHILDRENS HLTHCARE OF ATLANTA 2019 A <div class=""text-muted""><em>Rate/Coupon:</em> 3.00%<br> <em>Matures:</em> 07/01/2046</div>",Purchase,"$1,001 - $15,000",Gary C Peters
2063,2019-08-14,NFLX,"Netflix, Inc.",Purchase,"$1,001 - $15,000",Pat Roberts
2064,2019-08-14,AMZN,"Amazon.com, Inc.",Purchase,"$15,001 - $50,000",Pat Roberts
2065,2019-07-23,WAT,Waters Corporation,Sale (Partial),"$1,001 - $15,000","Angus S King, Jr."
2066,2019-07-23,CMCSA,Comcast Corporation,Purchase,"$1,001 - $15,000","Angus S King, Jr."
2067,2019-08-22,DOW,Dow Inc.,Purchase,"$50,001 - $100,000",John Hoeven
2069,2019-07-23,CVS,CVS Health Corporation,Sale (Full),"$50,001 - $100,000",John Hoeven
2070,2019-07-23,UPS,"United Parcel Service, Inc.",Sale (Full),"$100,001 - $250,000",John Hoeven
